MQ-3 (Alcohol),MQ-4 (Methane),MQ-135 (Ammonia),State
3271,1751,2274,Spoiled
3269,1751,2269,Spoiled
3271,1749,2256,Spoiled
3275,1749,2266,Spoiled
3265,1745,2271,Spoiled
3280,1744,2275,Spoiled
3270,1744,2267,Spoiled
3274,1742,2269,Spoiled
3273,1744,2266,Spoiled
3291,1746,2260,Spoiled
3287,1739,2256,Spoiled
3283,1745,2256,Spoiled
3286,1743,2262,Spoiled
3282,1739,2231,Spoiled
3286,1741,2252,Spoiled
3294,1732,2252,Spoiled
3299,1744,2256,Spoiled
3296,1735,2255,Spoiled
3297,1741,2251,Spoiled
3299,1737,2262,Spoiled
3298,1741,2259,Spoiled
3303,1744,2252,Spoiled
2847,1964,2091,Spoiled
2879,2015,2147,Spoiled
2851,1984,2128,Spoiled
2898,1991,2153,Spoiled
2928,1967,2215,Spoiled
2893,1925,2128,Spoiled
2962,1973,2193,Spoiled
2945,1963,2235,Spoiled
2951,1981,2223,Spoiled
2990,1975,2251,Spoiled
3005,1997,2256,Spoiled
2992,1971,2271,Spoiled
3002,1966,2293,Spoiled
2965,1933,2283,Spoiled
3193,1791,2278,Spoiled
3196,1779,2384,Spoiled
3202,1777,2279,Spoiled
3205,1782,2294,Spoiled
3215,1776,2283,Spoiled
3216,1791,2257,Spoiled
3226,1783,2286,Spoiled
3233,1777,2288,Spoiled
3221,1782,2282,Spoiled
3226,1787,2283,Spoiled
3235,1774,2283,Spoiled
3244,1770,2307,Spoiled
3244,1769,2285,Spoiled
3248,1776,2273,Spoiled
3234,1775,2276,Spoiled
3239,1776,2283,Spoiled
3245,1771,2275,Spoiled
3258,1766,2272,Spoiled
3248,1769,2271,Spoiled
3242,1775,2267,Spoiled
3910,1939,2154,Spoiled
3906,1952,2143,Spoiled
3926,1950,2149,Spoiled
3913,1956,2146,Spoiled
3911,1953,2149,Spoiled
3919,1954,2143,Spoiled
3913,1957,2149,Spoiled
3903,1955,2145,Spoiled
3911,1957,2157,Spoiled
3908,1941,2150,Spoiled
3921,1955,2135,Spoiled
3915,1954,2150,Spoiled
3915,1957,2150,Spoiled
3900,1961,2149,Spoiled
3910,1957,2151,Spoiled
3927,1968,2146,Spoiled
3910,1958,2157,Spoiled
3915,1968,2138,Spoiled
3903,1968,2150,Spoiled
3899,1968,2139,Spoiled
3888,1970,2149,Spoiled
3903,1966,2119,Spoiled
3911,1967,2143,Spoiled
3920,1960,2144,Spoiled
3931,1966,2157,Spoiled
3913,1968,2147,Spoiled
3906,1973,2154,Spoiled
3920,1969,2146,Spoiled
3904,1962,2151,Spoiled
3906,1964,2147,Spoiled
3923,1967,2150,Spoiled
3870,1926,2153,Spoiled
3856,1913,2147,Spoiled
3872,1922,2128,Spoiled
3858,1927,2144,Spoiled
3872,1932,2150,Spoiled
3856,1931,2151,Spoiled
3866,1937,2153,Spoiled
3867,1947,2145,Spoiled
3878,1947,2146,Spoiled
3874,1938,2150,Spoiled
3863,1935,2157,Spoiled
3858,1936,2129,Spoiled
3861,1936,2166,Spoiled
3860,1939,2154,Spoiled
3858,1927,2160,Spoiled
3865,1931,2144,Spoiled
3837,1937,2144,Spoiled
3874,1936,2158,Spoiled
3866,1947,2185,Spoiled
3867,1931,2149,Spoiled
3870,1942,2155,Spoiled
3862,1939,2146,Spoiled
3859,1943,2153,Spoiled
3858,1947,2143,Spoiled
3829,1949,2143,Spoiled
3870,1941,2141,Spoiled
3890,1942,2150,Spoiled
3888,1940,2155,Spoiled
3893,1936,2148,Spoiled
3874,1943,2157,Spoiled
3856,1901,2159,Spoiled
3850,1907,2161,Spoiled
3855,1898,2149,Spoiled
3856,1900,2153,Spoiled
3861,1900,2145,Spoiled
3854,1901,2157,Spoiled
3839,1909,2155,Spoiled
3847,1906,2146,Spoiled
3853,1904,2143,Spoiled
3854,1903,2150,Spoiled
3853,1904,2151,Spoiled
3863,1905,2143,Spoiled
3863,1858,2147,Spoiled
3863,1906,2159,Spoiled
3856,1906,2161,Spoiled
3866,1905,2150,Spoiled
3863,1910,2163,Spoiled
3850,1904,2147,Spoiled
3861,1901,2159,Spoiled
3869,1915,2139,Spoiled
3884,1904,2149,Spoiled
3886,1913,2158,Spoiled
3866,1905,2157,Spoiled
3865,1907,2147,Spoiled
3869,1913,2155,Spoiled
3867,1921,2147,Spoiled
3890,1922,2150,Spoiled
3847,1917,2153,Spoiled
3871,1920,2147,Spoiled
3865,1914,2144,Spoiled
3839,1875,2146,Spoiled
3849,1878,2147,Spoiled
3851,1875,2142,Spoiled
3855,1873,2162,Spoiled
3856,1886,2160,Spoiled
3867,1877,2151,Spoiled
3851,1874,2153,Spoiled
3856,1886,2154,Spoiled
3855,1874,2151,Spoiled
3846,1883,2247,Spoiled
3835,1890,2150,Spoiled
3849,1882,2160,Spoiled
3831,1871,2146,Spoiled
3849,1895,2161,Spoiled
3811,1887,2147,Spoiled
3872,1888,2147,Spoiled
3847,1885,2145,Spoiled
3841,1893,2145,Spoiled
3834,1889,2156,Spoiled
3830,1879,2162,Spoiled
3838,1887,2155,Spoiled
3838,1901,2150,Spoiled
3856,1894,2151,Spoiled
3841,1901,2157,Spoiled
3835,1890,2148,Spoiled
3883,1877,2159,Spoiled
3850,1889,2158,Spoiled
3862,1891,2150,Spoiled
3836,1892,2147,Spoiled
3822,1847,2145,Spoiled
3838,1856,2142,Spoiled
3804,1853,2145,Spoiled
3850,1857,2156,Spoiled
3831,1845,2145,Spoiled
3838,1855,2170,Spoiled
3829,1854,2139,Spoiled
3845,1855,2140,Spoiled
3847,1855,2150,Spoiled
3837,1856,2148,Spoiled
3849,1851,2149,Spoiled
3839,1852,2137,Spoiled
3822,1851,2107,Spoiled
3824,1856,2144,Spoiled
3839,1856,2144,Spoiled
3841,1853,2151,Spoiled
3837,1850,2138,Spoiled
3751,1855,2139,Spoiled
3852,1858,2145,Spoiled
3847,1859,2143,Spoiled
3847,1856,2143,Spoiled
3825,1859,2133,Spoiled
3841,1855,2137,Spoiled
3833,1860,2138,Spoiled
3846,1853,2145,Spoiled
3835,1859,2145,Spoiled
3842,1869,2141,Spoiled
3842,1869,2203,Spoiled
3851,1859,2125,Spoiled
3856,1865,2146,Spoiled
3867,1866,2145,Spoiled
3863,1871,2142,Spoiled
3843,1874,2155,Spoiled
3918,1865,2150,Spoiled
